City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Caravelas,BR,-17.7125,-39.2481,73.18,84,12,5.19,few clouds
137,Port Elizabeth,ZA,-33.918,25.5701,61.11,72,0,11.5,clear sky
138,Puerto Ayora,EC,-0.7393,-90.3518,69.82,90,83,9.86,broken clouds
139,Touros,BR,-5.1989,-35.4608,77.9,75,25,14.38,scattered clouds
140,Lebu,CL,-37.6167,-73.65,54.66,81,100,18.99,overcast clouds
141,Broome,US,42.2506,-75.833,52.57,68,90,1.01,overcast clouds
142,Fare,PF,-16.7,-151.0167,78.6,71,88,15.23,overcast clouds
143,Carnarvon,AU,-24.8667,113.6333,69.87,46,0,18.41,clear sky
144,New Norfolk,AU,-42.7826,147.0587,52.92,58,70,4.0,broken clouds
145,Guano,EC,-1.5833,-78.6333,51.62,92,99,3.53,light rain
146,Puri,IN,19.8,85.85,77.52,79,78,9.08,broken clouds
147,Andrews,US,32.3187,-102.5457,72.05,19,1,3.44,clear sky
148,Shatrovo,RU,56.5167,64.6333,25.2,63,38,8.86,scattered clouds
149,Ambilobe,MG,-13.2,49.05,73.08,87,22,0.67,few clouds
150,Hubli,IN,15.35,75.1667,70.81,88,82,11.27,broken clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,68.97,91,100,20.18,overcast clouds
152,Basoko,CD,1.2391,23.616,70.86,97,86,2.64,overcast clouds
153,Bandarbeyla,SO,9.4942,50.8122,77.4,79,8,14.12,light rain
154,Qaanaaq,GL,77.484,-69.3632,14.27,70,100,8.19,overcast clouds
155,Geraldton,AU,-28.7667,114.6,66.61,37,0,11.5,clear sky
156,Mizdah,LY,31.4451,12.9801,62.47,56,57,5.79,broken clouds
157,Saint George,US,37.1041,-113.5841,81.07,31,0,4.0,clear sky
158,Longyearbyen,SJ,78.2186,15.6401,26.44,68,20,12.66,few clouds
159,Gamba,GA,-2.65,10.0,76.82,90,98,5.39,overcast clouds
160,Kaitangata,NZ,-46.2817,169.8464,66.92,57,58,13.49,broken clouds
161,Oyotun,PE,-6.8519,-79.3036,60.39,69,89,3.89,light rain
162,Nuuk,GL,64.1835,-51.7216,31.87,91,100,3.0,overcast clouds
163,Vardo,NO,70.3705,31.1107,38.37,74,15,22.03,few clouds
164,At-Bashi,KG,41.1702,75.8106,28.78,94,96,2.01,light snow
165,Pacific Grove,US,36.6177,-121.9166,82.6,86,20,3.0,few clouds
166,Thompson,CA,55.7435,-97.8558,42.96,70,75,4.61,broken clouds
167,Padang,ID,-0.9492,100.3543,78.69,85,85,3.02,overcast clouds
168,Riyadh,SA,24.6877,46.7219,71.74,30,97,5.75,overcast clouds
169,Olafsvik,IS,64.8945,-23.7142,39.9,94,100,28.39,overcast clouds
170,Troitsko-Pechorsk,RU,62.7084,56.1964,22.86,94,100,8.97,light snow
171,Linqiong,CN,30.4159,103.4609,58.82,87,78,1.12,broken clouds
172,Poso,ID,-1.3959,120.7524,81.34,78,92,1.07,overcast clouds
173,Hamilton,US,39.1834,-84.5333,58.05,97,90,1.01,mist
174,Mufumbwe,ZM,-13.6833,24.8,74.39,38,99,0.49,overcast clouds
175,Erenhot,CN,43.6475,111.9767,35.37,59,39,16.67,scattered clouds
176,Morondava,MG,-20.2833,44.2833,74.26,69,55,6.87,broken clouds
177,Tuatapere,NZ,-46.1333,167.6833,68.09,44,90,8.66,overcast clouds
178,Chippewa Falls,US,44.9369,-91.3929,51.98,75,90,6.91,overcast clouds
179,Le Lorrain,MQ,14.8329,-61.0567,78.75,55,7,9.42,clear sky
180,Ellensburg,US,46.9965,-120.5479,55.11,49,14,11.01,few clouds
181,Winnemucca,US,40.973,-117.7357,64.11,36,54,3.98,broken clouds
182,Yarmouth,US,41.7057,-70.2286,52.02,80,95,1.99,overcast clouds
183,Abha,SA,18.2164,42.5053,57.02,26,0,0.0,clear sky
184,Lorengau,PG,-2.0226,147.2712,83.28,75,43,5.91,scattered clouds
185,Sungairaya,ID,0.7,108.9,77.52,89,99,11.3,moderate rain
186,San Cristobal,VE,7.7669,-72.225,75.38,99,99,2.21,overcast clouds
187,Northam,GB,51.0333,-4.2167,56.82,88,99,22.91,light rain
