City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Norman Wells,CA,2021-10-24 22:04:30,65.282,-126.8329,23.04,93,90,4.61
117,Samarai,PG,2021-10-24 22:01:42,-10.6167,150.6667,82.42,78,47,11.88
118,Richards Bay,ZA,2021-10-24 22:05:36,-28.783,32.0377,64.04,67,84,4.94
119,Palu,ID,2021-10-24 22:05:37,-0.8917,119.8707,75.31,94,90,3.11
120,Saint-Denis,FR,2021-10-24 22:05:37,48.9167,2.3333,52.14,80,0,3.44
121,Yerbogachen,RU,2021-10-24 22:05:37,61.2767,108.0108,34.56,97,100,9.33
122,Chuy,UY,2021-10-24 22:05:38,-33.6971,-53.4616,60.57,68,0,7.38
123,Sangar,RU,2021-10-24 22:05:38,63.9242,127.4739,20.5,96,100,6.51
124,Alekseyevsk,RU,2021-10-24 22:05:39,57.8406,108.3492,38.01,97,100,12.21
125,Upernavik,GL,2021-10-24 22:00:58,72.7868,-56.1549,15.93,67,89,8.21
126,Kaitangata,NZ,2021-10-24 22:05:39,-46.2817,169.8464,57.54,77,96,3.0
127,Bambous Virieux,MU,2021-10-24 22:04:42,-20.3428,57.7575,75.22,73,40,12.66
128,Olafsvik,IS,2021-10-24 22:05:39,64.8945,-23.7142,42.55,90,100,21.36
129,Uddevalla,SE,2021-10-24 22:05:40,58.3478,11.9424,50.22,84,100,5.01
130,Bengkulu,ID,2021-10-24 22:05:40,-3.8004,102.2655,75.13,89,100,5.39
131,Praya,CV,2021-10-24 22:04:25,14.9215,-23.5087,77.54,78,20,19.57
132,Srednekolymsk,RU,2021-10-24 22:05:41,67.45,153.6833,-4.88,94,100,1.63
133,Broken Hill,AU,2021-10-24 22:02:34,-31.95,141.4333,55.47,37,0,13.35
134,Georgetown,MY,2021-10-24 22:05:41,5.4112,100.3354,77.9,94,20,0.0
135,Fairbanks,US,2021-10-24 22:03:25,64.8378,-147.7164,28.22,90,90,0.0
136,Bilma,NE,2021-10-24 22:03:39,18.6853,12.9164,85.28,11,0,4.97
137,Cayenne,GF,2021-10-24 22:05:42,4.9333,-52.3333,82.09,88,75,1.99
138,Bandar-E Lengeh,IR,2021-10-24 22:05:42,26.5579,54.8807,81.95,57,0,4.38
139,Hithadhoo,MV,2021-10-24 22:02:41,-0.6,73.0833,82.22,75,69,15.57
140,Baie-Comeau,CA,2021-10-24 22:05:43,49.2168,-68.1489,46.08,76,90,6.91
141,Gerede,TR,2021-10-24 22:05:43,40.8008,32.1969,37.35,90,100,6.8
142,Sao Joao Da Barra,BR,2021-10-24 22:05:44,-21.6403,-41.0511,75.27,92,100,11.72
143,Constitucion,CL,2021-10-24 22:05:44,-35.3333,-72.4167,60.62,73,2,17.4
144,Tuktoyaktuk,CA,2021-10-24 22:05:17,69.4541,-133.0374,26.44,90,88,3.22
145,Chimbote,PE,2021-10-24 22:04:55,-9.0853,-78.5783,66.42,76,9,9.95
146,Mayo,US,2021-10-24 22:02:13,38.8876,-76.5119,69.24,78,64,8.01
147,Christchurch,NZ,2021-10-24 22:05:45,-43.5333,172.6333,68.02,74,40,3.0
148,Santona,ES,2021-10-24 22:05:45,43.4439,-3.4576,57.07,70,68,4.5
149,Arraial Do Cabo,BR,2021-10-24 22:05:46,-22.9661,-42.0278,71.49,94,100,16.31
150,Porto Nacional,BR,2021-10-24 22:03:39,-10.7081,-48.4172,73.26,90,100,2.04
151,Torbay,CA,2021-10-24 22:05:33,47.6666,-52.7314,55.67,88,99,8.99
152,Hervey Bay,AU,2021-10-24 22:02:42,-25.2986,152.8535,77.02,82,28,10.09
153,Isangel,VU,2021-10-24 22:05:47,-19.55,169.2667,78.21,70,32,10.8
154,Lompoc,US,2021-10-24 22:03:27,34.6391,-120.4579,71.74,75,90,6.91
155,Havelock,US,2021-10-24 22:05:48,34.8791,-76.9013,74.05,79,99,5.21
156,Lazarev,RU,2021-10-24 22:05:48,52.225,141.5131,39.87,93,80,12.59
157,Victoria,HK,2021-10-24 22:04:38,22.2855,114.1577,70.25,74,37,1.99
158,Cervo,ES,2021-10-24 22:05:48,43.6702,-7.4101,59.97,86,11,6.85
159,Farsund,NO,2021-10-24 22:05:49,58.0948,6.8047,53.94,81,100,16.26
160,Hasaki,JP,2021-10-24 22:05:49,35.7333,140.8333,52.29,53,26,7.72
161,Kapaa,US,2021-10-24 22:05:50,22.0752,-159.319,84.18,76,20,4.0
162,Ilulissat,GL,2021-10-24 22:04:42,69.2167,-51.1,21.22,58,75,14.97
163,San Jose De Rio Tinto,HN,2021-10-24 22:05:50,14.9333,-85.7,90.97,76,92,4.5
164,Broome,US,2021-10-24 22:04:18,42.2506,-75.833,53.38,79,90,3.0
165,Kholm,RU,2021-10-24 22:05:51,59.2667,32.85,28.74,87,25,4.43
166,Sao Filipe,CV,2021-10-24 22:05:51,14.8961,-24.4956,78.53,72,49,11.18
167,Yarmouth,US,2021-10-24 22:05:51,41.7057,-70.2286,55.98,68,1,4.0
168,Roma,US,2021-10-24 22:00:57,43.2128,-75.4557,55.13,67,90,0.0
169,Saint George,US,2021-10-24 22:05:52,37.1041,-113.5841,75.67,30,1,1.01
170,Sorong,ID,2021-10-24 22:01:35,-0.8833,131.25,80.24,82,99,7.09
171,Sitka,US,2021-10-24 22:05:52,57.0531,-135.33,49.89,50,40,0.0
172,Ancud,CL,2021-10-24 22:05:53,-41.8697,-73.8203,56.43,89,94,16.02
173,Kangaatsiaq,GL,2021-10-24 22:05:53,68.3065,-53.4641,17.33,91,97,9.64
174,Riyadh,SA,2021-10-24 22:02:12,24.6877,46.7219,75.43,22,0,9.26
175,Tarko-Sale,RU,2021-10-24 22:05:54,64.9225,77.785,23.72,87,14,18.05
176,Ostrovnoy,RU,2021-10-24 22:05:54,68.0531,39.5131,33.62,73,90,22.55
177,East London,ZA,2021-10-24 22:05:03,-33.0153,27.9116,60.13,76,48,11.05
178,Tautira,PF,2021-10-24 22:02:47,-17.7333,-149.15,77.02,91,100,17.0
179,Ulladulla,AU,2021-10-24 22:04:49,-35.35,150.4667,58.08,66,55,1.83
180,Kondopoga,RU,2021-10-24 22:05:55,62.2057,34.2614,27.27,81,59,3.56
181,Presidente Olegario,BR,2021-10-24 22:03:41,-18.4178,-46.4181,68.38,80,99,1.86
182,Lubben,DE,2021-10-24 22:05:56,51.95,13.9,42.06,66,26,6.98
183,Breytovo,RU,2021-10-24 22:05:56,58.2993,37.8617,30.47,84,61,9.93
184,Mancora,PE,2021-10-24 22:05:56,-4.1078,-81.0475,70.38,64,67,15.75
185,Taywarah,AF,2021-10-24 22:05:57,33.35,64.4167,32.72,33,0,3.76
186,Coahuayana,MX,2021-10-24 22:05:57,18.7333,-103.6833,89.08,70,99,5.03
187,Asau,RO,2021-10-24 22:05:58,46.4333,26.4,37.96,77,7,2.51
188,Steinbach,DE,2021-10-24 22:05:58,50.1667,8.5667,46.2,94,0,3.44
